type,n_p,p_p
np,0,0
np,0,0
np,0,0
np,0,0
pp,1,1
pp,1,0
np,0,0
pp,2,2
pp,2,0
np,0,0
pp,3,3
pp,3,0
np,0,0
pp,4,4
pp,4,0
np,0,0
pp,5,5
pp,5,0
np,0,0
pp,6,6
pp,6,0
np,0,0
pp,7,7
pp,7,0
np,0,0
pp,8,8
pp,8,0
np,0,0
pp,9,9
pp,9,0
np,0,0
pp,10,10
pp,10,0
np,0,0
pp,11,11
pp,11,0
np,0,0
pp,12,12
pp,12,0
np,0,0
pp,13,13
pp,13,0
np,0,0
pp,14,14
pp,14,0
np,0,0
pp,15,15
pp,15,0
np,0,0
pp,16,16
pp,16,0
np,0,0
pp,17,17
pp,17,0
np,0,0
pp,18,18
pp,18,0
np,0,0
pp,19,19
pp,19,0
np,0,0
pp,20,20
pp,20,0
