Name,Alexander (vector)
12a_587,{0; 8; 2; -10; 22; -34; 39; -34; 22; -10; 2}
12a_588,{0; 8; 2; -11; 30; -53; 63; -53; 30; -11; 2}
12a_589,{0; 8; 2; -9; 23; -37; 43; -37; 23; -9; 2}
12a_590,{0; 8; 2; -9; 19; -29; 33; -29; 19; -9; 2}
12a_591,{0; 6; 3; -13; 24; -29; 24; -13; 3}
12a_592,{0; 6; 5; -24; 49; -61; 49; -24; 5}
12a_593,{0; 6; 4; -19; 41; -53; 41; -19; 4}
12a_594,{0; 6; 3; -11; 22; -27; 22; -11; 3}
12a_595,{0; 6; 2; -13; 33; -43; 33; -13; 2}
12a_596,{0; 4; 6; -20; 29; -20; 6}
12a_597,{0; 6; 2; -13; 29; -35; 29; -13; 2}
12a_598,{0; 8; 2; -10; 25; -43; 51; -43; 25; -10; 2}
12a_599,{0; 8; 2; -10; 26; -42; 49; -42; 26; -10; 2}
12a_600,{0; 6; 4; -15; 23; -25; 23; -15; 4}
12a_601,{0; 4; 8; -32; 47; -32; 8}
12a_602,{0; 8; 2; -11; 28; -46; 55; -46; 28; -11; 2}
12a_603,{0; 6; 4; -22; 50; -63; 50; -22; 4}
12a_604,{0; 6; 3; -20; 53; -71; 53; -20; 3}
12a_605,{0; 8; 2; -9; 20; -30; 33; -30; 20; -9; 2}
12a_606,{0; 6; 4; -18; 38; -49; 38; -18; 4}
12a_607,{0; 8; 2; -9; 22; -34; 39; -34; 22; -9; 2}
12a_608,{0; 6; 4; -19; 44; -57; 44; -19; 4}
12a_609,{0; 6; 5; -23; 51; -65; 51; -23; 5}
12a_610,{0; 4; 11; -34; 47; -34; 11}
12a_611,{0; 6; 4; -24; 55; -71; 55; -24; 4}
12a_612,{0; 6; 4; -17; 32; -39; 32; -17; 4}
12a_613,{0; 6; 3; -15; 36; -47; 36; -15; 3}
12a_614,{0; 6; 3; -20; 51; -67; 51; -20; 3}
12a_615,{0; 6; 7; -27; 54; -67; 54; -27; 7}
12a_616,{0; 8; 2; -11; 32; -55; 65; -55; 32; -11; 2}
12a_617,{0; 8; 2; -9; 22; -35; 41; -35; 22; -9; 2}
12a_618,{0; 8; 2; -11; 31; -53; 63; -53; 31; -11; 2}
12a_619,{0; 4; 6; -24; 35; -24; 6}
12a_620,{0; 8; 2; -12; 33; -55; 65; -55; 33; -12; 2}
12a_621,{0; 8; 1; -8; 22; -36; 41; -36; 22; -8; 1}
12a_622,{0; 6; 2; -17; 47; -65; 47; -17; 2}
12a_623,{0; 6; 4; -20; 43; -55; 43; -20; 4}
12a_624,{0; 6; 4; -18; 41; -53; 41; -18; 4}
12a_625,{0; 6; 3; -19; 49; -67; 49; -19; 3}
12a_626,{0; 8; 2; -12; 34; -61; 73; -61; 34; -12; 2}
12a_627,{0; 8; 1; -8; 26; -49; 61; -49; 26; -8; 1}
12a_628,{0; 6; 3; -18; 46; -61; 46; -18; 3}
12a_629,{0; 8; 1; -8; 31; -66; 85; -66; 31; -8; 1}
12a_630,{0; 8; 1; -8; 27; -52; 63; -52; 27; -8; 1}
12a_631,{0; 6; 4; -22; 52; -69; 52; -22; 4}
12a_632,{0; 6; 4; -17; 33; -41; 33; -17; 4}
12a_633,{0; 6; 4; -21; 51; -67; 51; -21; 4}
12a_634,{0; 6; 4; -15; 30; -37; 30; -15; 4}
12a_635,{0; 6; 3; -19; 47; -63; 47; -19; 3}
12a_636,{0; 4; 7; -23; 33; -23; 7}
12a_637,{0; 8; 1; -8; 26; -50; 61; -50; 26; -8; 1}
12a_638,{0; 6; 4; -20; 41; -51; 41; -20; 4}
12a_639,{0; 8; 2; -10; 24; -40; 47; -40; 24; -10; 2}
12a_640,{0; 6; 3; -14; 28; -35; 28; -14; 3}
12a_641,{0; 8; 2; -6; 10; -12; 13; -12; 10; -6; 2}
12a_642,{0; 6; 4; -14; 25; -29; 25; -14; 4}
12a_643,{0; 6; 4; -13; 21; -23; 21; -13; 4}
12a_644,{0; 4; 8; -28; 41; -28; 8}
12a_645,{0; 8; 2; -11; 30; -54; 65; -54; 30; -11; 2}
12a_646,{0; 8; 2; -9; 21; -33; 39; -33; 21; -9; 2}
12a_647,{0; 8; 3; -10; 20; -28; 31; -28; 20; -10; 3}
12a_648,{0; 6; 5; -17; 32; -39; 32; -17; 5}
12a_649,{0; 8; 1; -7; 17; -25; 27; -25; 17; -7; 1}
12a_650,{0; 6; 2; -15; 39; -53; 39; -15; 2}
12a_651,{0; 8; 1; -7; 15; -17; 17; -17; 15; -7; 1}
12a_652,{0; 6; 2; -15; 37; -47; 37; -15; 2}
12a_653,{0; 4; 11; -36; 51; -36; 11}
12a_654,{0; 6; 3; -17; 38; -49; 38; -17; 3}
12a_655,{0; 6; 4; -17; 36; -45; 36; -17; 4}
12a_656,{0; 6; 4; -22; 55; -73; 55; -22; 4}
12a_657,{0; 8; 2; -9; 22; -36; 43; -36; 22; -9; 2}
12a_658,{0; 6; 4; -18; 38; -47; 38; -18; 4}
12a_659,{0; 6; 8; -30; 58; -71; 58; -30; 8}
12a_660,{0; 8; 2; -10; 21; -31; 35; -31; 21; -10; 2}
12a_661,{0; 6; 4; -21; 44; -55; 44; -21; 4}
12a_662,{0; 8; 1; -8; 27; -52; 65; -52; 27; -8; 1}
12a_663,{0; 6; 3; -17; 41; -53; 41; -17; 3}
12a_664,{0; 8; 1; -8; 22; -34; 39; -34; 22; -8; 1}
12a_665,{0; 6; 2; -17; 47; -63; 47; -17; 2}
12a_666,{0; 6; 3; -20; 49; -63; 49; -20; 3}
12a_667,{0; 8; 2; -7; 15; -23; 27; -23; 15; -7; 2}
12a_668,{0; 8; 2; -9; 23; -38; 45; -38; 23; -9; 2}
12a_669,{0; 6; 3; -9; 14; -15; 14; -9; 3}
12a_670,{0; 8; 2; -11; 29; -48; 57; -48; 29; -11; 2}
12a_671,{0; 8; 2; -9; 22; -34; 39; -34; 22; -9; 2}
12a_672,{0; 8; 2; -11; 29; -50; 59; -50; 29; -11; 2}
12a_673,{0; 8; 1; -8; 25; -43; 49; -43; 25; -8; 1}
12a_674,{0; 8; 1; -8; 25; -47; 59; -47; 25; -8; 1}
12a_675,{0; 8; 2; -10; 26; -42; 49; -42; 26; -10; 2}
12a_676,{0; 6; 3; -14; 32; -41; 32; -14; 3}
12a_677,{0; 6; 4; -18; 40; -51; 40; -18; 4}
12a_678,{0; 6; 4; -19; 41; -51; 41; -19; 4}
12a_679,{0; 4; 7; -20; 27; -20; 7}
12a_680,{0; 8; 2; -10; 24; -40; 47; -40; 24; -10; 2}
12a_681,{0; 8; 1; -7; 18; -29; 35; -29; 18; -7; 1}
12a_682,{0; 6; 2; -12; 25; -29; 25; -12; 2}
12a_683,{0; 8; 1; -7; 16; -22; 25; -22; 16; -7; 1}
12a_684,{0; 6; 2; -14; 32; -39; 32; -14; 2}
12a_685,{0; 6; 4; -21; 46; -59; 46; -21; 4}
12a_686,{0; 6; 5; -23; 47; -59; 47; -23; 5}
12a_687,{0; 6; 3; -21; 53; -69; 53; -21; 3}
12a_688,{0; 8; 2; -10; 26; -42; 49; -42; 26; -10; 2}
12a_689,{0; 6; 2; -13; 29; -35; 29; -13; 2}
12a_690,{0; 4; 4; -22; 37; -22; 4}
12a_691,{0; 4; 3; -19; 33; -19; 3}
12a_692,{0; 8; 2; -8; 19; -30; 35; -30; 19; -8; 2}
12a_693,{0; 8; 1; -7; 18; -28; 33; -28; 18; -7; 1}
12a_694,{0; 8; 2; -10; 21; -30; 33; -30; 21; -10; 2}
12a_695,{0; 8; 1; -8; 29; -61; 77; -61; 29; -8; 1}
12a_696,{0; 8; 1; -8; 29; -61; 79; -61; 29; -8; 1}
12a_697,{0; 8; 1; -9; 33; -66; 83; -66; 33; -9; 1}
12a_698,{0; 8; 1; -8; 28; -55; 67; -55; 28; -8; 1}
12a_699,{0; 8; 1; -8; 28; -57; 73; -57; 28; -8; 1}
12a_700,{0; 8; 1; -7; 26; -56; 73; -56; 26; -7; 1}
12a_701,{0; 8; 2; -10; 27; -46; 55; -46; 27; -10; 2}
12a_702,{0; 8; 1; -7; 20; -34; 41; -34; 20; -7; 1}
12a_703,{0; 8; 1; -9; 32; -64; 79; -64; 32; -9; 1}
12a_704,{0; 8; 1; -8; 24; -43; 51; -43; 24; -8; 1}
12a_705,{0; 8; 1; -9; 33; -68; 87; -68; 33; -9; 1}
12a_706,{0; 8; 1; -7; 24; -46; 57; -46; 24; -7; 1}
12a_707,{0; 8; 1; -8; 29; -59; 75; -59; 29; -8; 1}
12a_708,{0; 8; 1; -7; 22; -42; 51; -42; 22; -7; 1}
12a_709,{0; 8; 1; -8; 28; -57; 71; -57; 28; -8; 1}
12a_710,{0; 8; 1; -9; 33; -66; 81; -66; 33; -9; 1}
12a_711,{0; 8; 1; -8; 27; -53; 65; -53; 27; -8; 1}
12a_712,{0; 8; 1; -9; 34; -70; 87; -70; 34; -9; 1}
12a_713,{0; 8; 2; -8; 17; -27; 31; -27; 17; -8; 2}
12a_714,{0; 8; 2; -8; 15; -19; 19; -19; 15; -8; 2}
12a_715,{0; 6; 4; -18; 38; -49; 38; -18; 4}
12a_716,{0; 10; 1; -3; 5; -5; 5; -5; 5; -5; 5; -3; 1}
12a_717,{0; 8; 2; -7; 13; -15; 15; -15; 13; -7; 2}
12a_718,{0; 8; 2; -8; 18; -27; 31; -27; 18; -8; 2}
12a_719,{0; 6; 4; -16; 33; -41; 33; -16; 4}
12a_720,{0; 8; 2; -8; 16; -20; 21; -20; 16; -8; 2}
12a_721,{0; 6; 4; -18; 39; -49; 39; -18; 4}
12a_722,{0; 10; 1; -3; 3; -3; 3; -3; 3; -3; 3; -3; 1}
12a_723,{0; 8; 2; -7; 9; -9; 9; -9; 9; -7; 2}
12a_724,{0; 8; 2; -8; 14; -19; 21; -19; 14; -8; 2}
12a_725,{0; 6; 4; -16; 25; -27; 25; -16; 4}
12a_726,{0; 8; 2; -8; 14; -18; 19; -18; 14; -8; 2}
12a_727,{0; 6; 4; -18; 35; -43; 35; -18; 4}
12a_728,{0; 8; 2; -8; 17; -25; 29; -25; 17; -8; 2}
12a_729,{0; 6; 4; -18; 38; -47; 38; -18; 4}
12a_730,{0; 6; 4; -18; 34; -41; 34; -18; 4}
12a_731,{0; 6; 4; -14; 22; -25; 22; -14; 4}
12a_732,{0; 6; 3; -11; 21; -25; 21; -11; 3}
12a_733,{0; 6; 3; -11; 15; -15; 15; -11; 3}
12a_734,{0; 8; 2; -10; 26; -46; 55; -46; 26; -10; 2}
12a_735,{0; 4; 6; -25; 37; -25; 6}
12a_736,{0; 6; 4; -16; 31; -39; 31; -16; 4}
12a_737,{0; 8; 2; -9; 21; -32; 37; -32; 21; -9; 2}
12a_738,{0; 6; 3; -13; 27; -33; 27; -13; 3}
12a_739,{0; 8; 2; -9; 19; -28; 31; -28; 19; -9; 2}
12a_740,{0; 6; 3; -13; 25; -31; 25; -13; 3}
12a_741,{0; 6; 5; -25; 54; -69; 54; -25; 5}
12a_742,{0; 8; 2; -8; 17; -26; 29; -26; 17; -8; 2}
12a_743,{0; 4; 6; -20; 27; -20; 6}
12a_744,{0; 4; 4; -15; 23; -15; 4}
12a_745,{0; 4; 4; -15; 21; -15; 4}
12a_746,{0; 8; 2; -10; 26; -44; 53; -44; 26; -10; 2}
12a_747,{0; 8; 1; -8; 25; -45; 53; -45; 25; -8; 1}
12a_748,{0; 6; 4; -16; 30; -37; 30; -16; 4}
12a_749,{0; 6; 4; -16; 32; -39; 32; -16; 4}
12a_750,{0; 4; 8; -34; 51; -34; 8}
12a_751,{0; 6; 2; -14; 38; -53; 38; -14; 2}
12a_752,{0; 4; 8; -29; 41; -29; 8}
12a_753,{0; 4; 6; -21; 31; -21; 6}
12a_754,{0; 8; 1; -9; 30; -57; 69; -57; 30; -9; 1}
12a_755,{0; 8; 2; -11; 31; -57; 69; -57; 31; -11; 2}
12a_756,{0; 8; 1; -8; 23; -39; 45; -39; 23; -8; 1}
12a_757,{0; 8; 2; -9; 20; -32; 37; -32; 20; -9; 2}
12a_758,{0; 6; 3; -13; 25; -31; 25; -13; 3}
12a_759,{0; 8; 2; -6; 9; -9; 9; -9; 9; -6; 2}
12a_760,{0; 6; 4; -14; 24; -27; 24; -14; 4}
12a_761,{0; 6; 4; -16; 31; -37; 31; -16; 4}
12a_762,{0; 8; 2; -6; 7; -7; 7; -7; 7; -6; 2}
12a_763,{0; 6; 4; -14; 20; -21; 20; -14; 4}
12a_764,{0; 6; 4; -16; 29; -35; 29; -16; 4}
12a_765,{0; 8; 1; -9; 31; -60; 75; -60; 31; -9; 1}
12a_766,{0; 8; 1; -8; 25; -45; 55; -45; 25; -8; 1}
12a_767,{0; 4; 8; -31; 45; -31; 8}
12a_768,{0; 8; 1; -8; 23; -38; 43; -38; 23; -8; 1}
12a_769,{0; 6; 2; -16; 45; -63; 45; -16; 2}
12a_770,{0; 6; 2; -17; 48; -65; 48; -17; 2}
12a_771,{0; 6; 5; -23; 50; -63; 50; -23; 5}
12a_772,{0; 6; 4; -16; 28; -33; 28; -16; 4}
12a_773,{0; 4; 6; -23; 33; -23; 6}
12a_774,{0; 4; 6; -22; 33; -22; 6}
12a_775,{0; 4; 6; -22; 31; -22; 6}
12a_776,{0; 8; 1; -8; 25; -46; 55; -46; 25; -8; 1}
12a_777,{0; 8; 1; -8; 23; -36; 41; -36; 23; -8; 1}
12a_778,{0; 8; 1; -9; 30; -57; 71; -57; 30; -9; 1}
12a_779,{0; 6; 2; -16; 44; -61; 44; -16; 2}
12a_780,{0; 6; 5; -24; 51; -65; 51; -24; 5}
12a_781,{0; 6; 2; -14; 37; -51; 37; -14; 2}
12a_782,{0; 6; 2; -14; 36; -47; 36; -14; 2}
12a_783,{0; 6; 2; -16; 45; -61; 45; -16; 2}
12a_784,{0; 8; 2; -9; 23; -39; 47; -39; 23; -9; 2}
12a_785,{0; 8; 1; -9; 32; -62; 77; -62; 32; -9; 1}
12a_786,{0; 6; 2; -15; 40; -55; 40; -15; 2}
12a_787,{0; 4; 8; -29; 43; -29; 8}
12a_788,{0; 8; 1; -8; 31; -67; 85; -67; 31; -8; 1}
12a_789,{0; 8; 2; -7; 14; -20; 23; -20; 14; -7; 2}
12a_790,{0; 6; 4; -16; 32; -39; 32; -16; 4}
12a_791,{0; 6; 3; -9; 13; -13; 13; -9; 3}
12a_792,{0; 4; 6; -21; 31; -21; 6}
12a_793,{0; 8; 1; -9; 32; -62; 77; -62; 32; -9; 1}
12a_794,{0; 8; 2; -7; 12; -16; 17; -16; 12; -7; 2}
12a_795,{0; 6; 4; -16; 30; -37; 30; -16; 4}
12a_796,{0; 6; 3; -9; 11; -11; 11; -9; 3}
12a_797,{0; 4; 6; -21; 29; -21; 6}
12a_798,{0; 6; 5; -23; 48; -61; 48; -23; 5}
12a_799,{0; 6; 2; -15; 42; -57; 42; -15; 2}
12a_800,{0; 6; 3; -11; 20; -25; 20; -11; 3}
12a_801,{0; 8; 2; -8; 17; -26; 29; -26; 17; -8; 2}
12a_802,{0; 4; 4; -12; 15; -12; 4}
12a_803,{0; 2; 5; -11; 5}
12a_804,{0; 8; 2; -12; 32; -50; 57; -50; 32; -12; 2}
12a_805,{0; 10; 1; -5; 11; -17; 20; -21; 20; -17; 11; -5; 1}
12a_806,{0; 8; 2; -11; 27; -44; 51; -44; 27; -11; 2}
12a_807,{0; 8; 2; -11; 28; -47; 55; -47; 28; -11; 2}
12a_808,{0; 6; 3; -15; 32; -41; 32; -15; 3}
12a_809,{0; 8; 2; -11; 27; -39; 43; -39; 27; -11; 2}
12a_810,{0; 6; 4; -23; 57; -75; 57; -23; 4}
12a_811,{0; 8; 3; -10; 19; -26; 29; -26; 19; -10; 3}
12a_812,{0; 6; 5; -23; 45; -55; 45; -23; 5}
12a_813,{0; 8; 3; -9; 16; -22; 25; -22; 16; -9; 3}
12a_814,{0; 6; 6; -20; 34; -39; 34; -20; 6}
12a_815,{0; 10; 1; -3; 7; -12; 16; -17; 16; -12; 7; -3; 1}
12a_816,{0; 8; 2; -7; 17; -30; 37; -30; 17; -7; 2}
12a_817,{0; 8; 3; -10; 19; -26; 29; -26; 19; -10; 3}
12a_818,{0; 8; 1; -7; 23; -42; 49; -42; 23; -7; 1}
12a_819,{0; 10; 1; -5; 12; -21; 29; -33; 29; -21; 12; -5; 1}
12a_820,{0; 8; 2; -10; 23; -35; 39; -35; 23; -10; 2}
12a_821,{0; 6; 4; -20; 44; -57; 44; -20; 4}
12a_822,{0; 8; 2; -8; 15; -22; 25; -22; 15; -8; 2}
12a_823,{0; 6; 4; -17; 31; -37; 31; -17; 4}
12a_824,{0; 10; 1; -3; 7; -13; 19; -21; 19; -13; 7; -3; 1}
12a_825,{0; 8; 2; -7; 16; -27; 33; -27; 16; -7; 2}
12a_826,{0; 8; 2; -6; 11; -16; 19; -16; 11; -6; 2}
12a_827,{0; 6; 4; -13; 21; -23; 21; -13; 4}
12a_828,{0; 6; 7; -24; 42; -49; 42; -24; 7}
12a_829,{0; 8; 2; -11; 25; -37; 41; -37; 25; -11; 2}
12a_830,{0; 8; 2; -9; 24; -42; 51; -42; 24; -9; 2}
12a_831,{0; 8; 2; -9; 24; -42; 51; -42; 24; -9; 2}
12a_832,{0; 8; 2; -11; 25; -37; 41; -37; 25; -11; 2}
12a_833,{0; 8; 2; -9; 19; -29; 33; -29; 19; -9; 2}
12a_834,{0; 6; 4; -19; 39; -49; 39; -19; 4}
12a_835,{0; 10; 1; -3; 6; -9; 11; -11; 11; -9; 6; -3; 1}
12a_836,{0; 8; 2; -7; 15; -24; 29; -24; 15; -7; 2}
12a_837,{0; 8; 2; -8; 18; -28; 33; -28; 18; -8; 2}
12a_838,{0; 10; 1; -3; 4; -5; 5; -5; 5; -5; 4; -3; 1}
12a_839,{0; 8; 2; -7; 11; -14; 15; -14; 11; -7; 2}
12a_840,{0; 8; 2; -8; 16; -24; 27; -24; 16; -8; 2}
12a_841,{0; 6; 4; -16; 28; -33; 28; -16; 4}
12a_842,{0; 6; 3; -11; 20; -23; 20; -11; 3}
12a_843,{0; 6; 3; -11; 18; -21; 18; -11; 3}
12a_844,{0; 8; 1; -8; 24; -43; 51; -43; 24; -8; 1}
12a_845,{0; 6; 4; -14; 24; -27; 24; -14; 4}
12a_846,{0; 8; 1; -8; 24; -43; 51; -43; 24; -8; 1}
12a_847,{0; 8; 1; -8; 24; -39; 45; -39; 24; -8; 1}
12a_848,{0; 8; 2; -9; 21; -31; 35; -31; 21; -9; 2}
12a_849,{0; 6; 4; -19; 43; -55; 43; -19; 4}
12a_850,{0; 10; 1; -4; 8; -12; 13; -13; 13; -12; 8; -4; 1}
12a_851,{0; 8; 2; -9; 20; -32; 37; -32; 20; -9; 2}
12a_852,{0; 8; 2; -10; 25; -42; 49; -42; 25; -10; 2}
12a_853,{0; 6; 4; -19; 40; -51; 40; -19; 4}
12a_854,{0; 6; 3; -14; 30; -39; 30; -14; 3}
12a_855,{0; 8; 2; -10; 23; -33; 35; -33; 23; -10; 2}
12a_856,{0; 6; 4; -22; 54; -73; 54; -22; 4}
12a_857,{0; 8; 2; -11; 29; -49; 57; -49; 29; -11; 2}
12a_858,{0; 6; 3; -16; 38; -51; 38; -16; 3}
12a_859,{0; 10; 1; -4; 8; -10; 11; -11; 11; -10; 8; -4; 1}
12a_860,{0; 8; 2; -9; 20; -28; 31; -28; 20; -9; 2}
12a_861,{0; 8; 2; -10; 25; -40; 47; -40; 25; -10; 2}
12a_862,{0; 6; 4; -19; 42; -53; 42; -19; 4}
12a_863,{0; 6; 3; -14; 30; -37; 30; -14; 3}
12a_864,{0; 10; 1; -5; 12; -20; 27; -29; 27; -20; 12; -5; 1}
12a_865,{0; 8; 2; -11; 28; -46; 55; -46; 28; -11; 2}
12a_866,{0; 8; 2; -12; 34; -62; 75; -62; 34; -12; 2}
12a_867,{0; 8; 1; -9; 34; -69; 87; -69; 34; -9; 1}
12a_868,{0; 8; 1; -10; 39; -84; 109; -84; 39; -10; 1}
12a_869,{0; 10; 1; -5; 12; -21; 27; -29; 27; -21; 12; -5; 1}
12a_870,{0; 8; 2; -10; 23; -37; 43; -37; 23; -10; 2}
12a_871,{0; 8; 2; -11; 27; -45; 53; -45; 27; -11; 2}
12a_872,{0; 6; 4; -21; 45; -57; 45; -21; 4}
12a_873,{0; 6; 5; -22; 42; -51; 42; -22; 5}
12a_874,{0; 8; 2; -12; 33; -59; 71; -59; 33; -12; 2}
12a_875,{0; 6; 5; -29; 72; -95; 72; -29; 5}
12a_876,{0; 8; 3; -8; 13; -18; 21; -18; 13; -8; 3}
12a_877,{0; 6; 6; -18; 27; -29; 27; -18; 6}
12a_878,{0; 10; 1; -3; 6; -9; 12; -13; 12; -9; 6; -3; 1}
12a_879,{0; 8; 2; -7; 15; -23; 27; -23; 15; -7; 2}
12a_880,{0; 4; 12; -40; 57; -40; 12}
12a_881,{0; 8; 2; -7; 13; -15; 15; -15; 13; -7; 2}
12a_882,{0; 6; 4; -16; 33; -41; 33; -16; 4}
12a_883,{0; 6; 4; -20; 42; -53; 42; -20; 4}
12a_884,{0; 8; 1; -9; 33; -66; 81; -66; 33; -9; 1}
12a_885,{0; 8; 1; -9; 32; -63; 77; -63; 32; -9; 1}
12a_886,{0; 8; 1; -7; 24; -45; 53; -45; 24; -7; 1}
12a_887,{0; 8; 1; -9; 32; -63; 79; -63; 32; -9; 1}
12a_888,{0; 8; 1; -9; 33; -67; 83; -67; 33; -9; 1}
12a_889,{0; 8; 2; -10; 22; -32; 35; -32; 22; -10; 2}
12a_890,{0; 6; 4; -21; 47; -61; 47; -21; 4}
12a_891,{0; 8; 2; -11; 29; -47; 55; -47; 29; -11; 2}
12a_892,{0; 6; 4; -22; 53; -69; 53; -22; 4}
12a_893,{0; 8; 1; -9; 33; -68; 87; -68; 33; -9; 1}
12a_894,{0; 8; 2; -12; 33; -56; 67; -56; 33; -12; 2}
12a_895,{0; 8; 2; -10; 27; -51; 63; -51; 27; -10; 2}
12a_896,{0; 8; 2; -11; 26; -40; 45; -40; 26; -11; 2}
12a_897,{0; 6; 4; -22; 50; -65; 50; -22; 4}
12a_898,{0; 10; 1; -4; 11; -21; 30; -33; 30; -21; 11; -4; 1}
12a_899,{0; 8; 2; -8; 20; -35; 43; -35; 20; -8; 2}
12a_900,{0; 6; 8; -29; 54; -65; 54; -29; 8}
12a_901,{0; 8; 1; -9; 27; -47; 55; -47; 27; -9; 1}
12a_902,{0; 6; 2; -18; 51; -71; 51; -18; 2}
12a_903,{0; 6; 5; -26; 57; -73; 57; -26; 5}
12a_904,{0; 8; 2; -10; 23; -36; 41; -36; 23; -10; 2}
12a_905,{0; 6; 4; -20; 43; -55; 43; -20; 4}
12a_906,{0; 8; 1; -8; 26; -53; 69; -53; 26; -8; 1}
12a_907,{0; 8; 2; -11; 29; -45; 51; -45; 29; -11; 2}
12a_908,{0; 6; 4; -22; 55; -73; 55; -22; 4}
12a_909,{0; 10; 1; -4; 9; -14; 16; -17; 16; -14; 9; -4; 1}
12a_910,{0; 8; 2; -9; 22; -36; 41; -36; 22; -9; 2}
12a_911,{0; 8; 2; -9; 23; -39; 45; -39; 23; -9; 2}
12a_912,{0; 6; 3; -12; 26; -35; 26; -12; 3}
12a_913,{0; 8; 1; -7; 24; -48; 59; -48; 24; -7; 1}
12a_914,{0; 6; 5; -25; 59; -77; 59; -25; 5}
12a_915,{0; 6; 3; -23; 65; -89; 65; -23; 3}
12a_916,{0; 10; 1; -4; 10; -18; 26; -29; 26; -18; 10; -4; 1}
12a_917,{0; 8; 2; -9; 23; -39; 47; -39; 23; -9; 2}
12a_918,{0; 8; 1; -9; 29; -53; 63; -53; 29; -9; 1}
12a_919,{0; 6; 2; -16; 45; -63; 45; -16; 2}
12a_920,{0; 10; 1; -4; 9; -16; 21; -23; 21; -16; 9; -4; 1}
12a_921,{0; 8; 2; -9; 21; -35; 41; -35; 21; -9; 2}
12a_922,{0; 8; 2; -11; 32; -60; 73; -60; 32; -11; 2}
12a_923,{0; 8; 2; -9; 18; -25; 27; -25; 18; -9; 2}
12a_924,{0; 6; 4; -20; 43; -55; 43; -20; 4}
12a_925,{0; 8; 2; -10; 28; -51; 63; -51; 28; -10; 2}
12a_926,{0; 8; 2; -8; 16; -24; 27; -24; 16; -8; 2}
12a_927,{0; 6; 4; -18; 37; -47; 37; -18; 4}
12a_928,{0; 8; 1; -8; 31; -69; 91; -69; 31; -8; 1}
12a_929,{0; 8; 2; -10; 25; -41; 47; -41; 25; -10; 2}
12a_930,{0; 8; 2; -9; 19; -28; 31; -28; 19; -9; 2}
12a_931,{0; 6; 4; -19; 40; -51; 40; -19; 4}
12a_932,{0; 8; 1; -7; 24; -46; 55; -46; 24; -7; 1}
12a_933,{0; 8; 1; -8; 26; -49; 59; -49; 26; -8; 1}
12a_934,{0; 8; 2; -10; 27; -49; 59; -49; 27; -10; 2}
12a_935,{0; 8; 1; -8; 29; -59; 75; -59; 29; -8; 1}
12a_936,{0; 6; 4; -20; 46; -61; 46; -20; 4}
12a_937,{0; 8; 2; -7; 11; -13; 13; -13; 11; -7; 2}
12a_938,{0; 6; 4; -16; 29; -35; 29; -16; 4}
12a_939,{0; 4; 10; -40; 59; -40; 10}
12a_940,{0; 6; 2; -13; 39; -57; 39; -13; 2}
12a_941,{0; 8; 2; -8; 17; -26; 29; -26; 17; -8; 2}
12a_942,{0; 6; 4; -18; 39; -51; 39; -18; 4}
12a_943,{0; 6; 4; -21; 51; -69; 51; -21; 4}
12a_944,{0; 8; 2; -9; 21; -32; 37; -32; 21; -9; 2}
12a_945,{0; 6; 4; -20; 46; -59; 46; -20; 4}
12a_946,{0; 8; 2; -9; 19; -29; 33; -29; 19; -9; 2}
12a_947,{0; 6; 4; -18; 35; -43; 35; -18; 4}
12a_948,{0; 8; 1; -9; 29; -54; 65; -54; 29; -9; 1}
12a_949,{0; 8; 2; -10; 25; -42; 49; -42; 25; -10; 2}
12a_950,{0; 6; 4; -20; 45; -59; 45; -20; 4}
12a_951,{0; 8; 1; -9; 32; -65; 81; -65; 32; -9; 1}
12a_952,{0; 8; 2; -9; 17; -22; 23; -22; 17; -9; 2}
12a_953,{0; 6; 4; -20; 42; -53; 42; -20; 4}
12a_954,{0; 8; 2; -10; 25; -43; 51; -43; 25; -10; 2}
12a_955,{0; 6; 4; -20; 44; -57; 44; -20; 4}
12a_956,{0; 8; 2; -10; 26; -42; 49; -42; 26; -10; 2}
12a_957,{0; 6; 4; -20; 47; -61; 47; -20; 4}
12a_958,{0; 8; 2; -10; 25; -39; 45; -39; 25; -10; 2}
12a_959,{0; 6; 4; -21; 50; -65; 50; -21; 4}
12a_960,{0; 6; 4; -25; 66; -91; 66; -25; 4}
12a_961,{0; 8; 1; -9; 31; -60; 75; -60; 31; -9; 1}
12a_962,{0; 8; 1; -9; 28; -51; 61; -51; 28; -9; 1}
12a_963,{0; 6; 5; -24; 50; -63; 50; -24; 5}
12a_964,{0; 8; 1; -9; 30; -55; 65; -55; 30; -9; 1}
12a_965,{0; 8; 1; -9; 32; -65; 83; -65; 32; -9; 1}
12a_966,{0; 8; 2; -10; 26; -44; 53; -44; 26; -10; 2}
12a_967,{0; 6; 5; -27; 58; -73; 58; -27; 5}
12a_968,{0; 8; 1; -8; 23; -40; 49; -40; 23; -8; 1}
12a_969,{0; 6; 2; -14; 33; -41; 33; -14; 2}
12a_970,{0; 8; 2; -8; 15; -18; 19; -18; 15; -8; 2}
12a_971,{0; 6; 4; -18; 37; -45; 37; -18; 4}
12a_972,{0; 8; 2; -10; 24; -36; 39; -36; 24; -10; 2}
12a_973,{0; 6; 8; -29; 53; -63; 53; -29; 8}
12a_974,{0; 4; 13; -44; 63; -44; 13}
